id,user_id,path,seq,tex,dna,WER_FST,WER_LEX_FST,y_seq_whisper_medium,time_whisper_medium,y_seq_whisper_base,time_whisper_base
line846_p2_dna,2,Data\audio\line846_p2_dna.wav,alpha indice zéro inférieur ou égal à trois petits points inférieur ou égal à alpha indice grand f,\alpha _ 0 \leq \dots \leq \alpha _ N,True,0.3333333333333333,0.3333333333333333, alpha indice 0 inférieur ou égal à trois petits points inférieur ou égal à alpha indice grande N,12.085763216018677, Alpha indices row A ferie euro égal a 3 petits points A ferie euro égal a Alpha indices grandaines,1.5113399028778076
line228_p3_part7,3,Data\audio\line228_p3_part7.wav,p indice grand s entre parenthèses u appartient à gamma indice un puissance r union gamma indice un puissance l,p _ \mathbb { S } ( u ) \in \gamma _ 1 ^ R \cup \gamma _ 1 ^ L,False,0.38095238095238093,0.29411764705882354, P' U appartient à gamma'1'r union gamma'1'l,9.3341326713562, P110 grand S entre parenthèses + U A partir un gamma 1111 puissance R union gamma 1111 puissance L,1.7607383728027344
line625_p2,2,Data\audio\line625_p2.wav,n supérieur ou égal à deux espace and espace d supérieur ou égal à trois delta espace ouvrez la parenthèse resp d strictement plus grand que trois delta fermer la parenthèse,N \geq 2 \quad \text { and } \quad d \geq 3 \delta \quad ( \text { resp. } d > 3 \delta ),False,0.375,0.2777777777777778, n supérieur ou égal à 2 espace and espace d supérieur ou égal à 3 delta espace ouvrez la parenthèse resp d strictement plus grand que 3 delta fermez la parenthèse,17.151142358779907, A une supérieure regale à deux espace ande espace des supérieurs regales à trois delta espaces ouvrez la parenthèse resp des strictement plus grands que trois delta fermez la parenthèse,2.156213998794556
line115_p3,3,Data\audio\line115_p3.wav,probabilité que b indice epsilon de b p barre et o barre indice infini inclu dans p indice b p barre de a infini indice l epsilon union a chapeau infini indice l epsilon supérieur à un moins delta,"\mathbb { P } ( B _ \varepsilon ( \overline { \mathcal { B P } } , \overline { \rho } _ \infty ) \subset p _ { \overline { \mathcal { B P } } } ( A ^ \infty _ { L \varepsilon } \cup \hat { A } ^ \infty _ { L \varepsilon } ) ) > 1 - \delta",False,0.7076923076923077,0.5641025641025641, que b' de BP bar et Rho bar inclus dans P' BP bar de A' L' union A' L' supérieur à 1 - delta,12.054229974746704, probabilité que B110 Epsilon de BP bar et au bar en disant fini inclus dans B110 BP bar de 1 fini en disant Lepsilon union H1 1 fini en disant Lepsilon super à un monde à ta,2.532041549682617
line820_p1_dna,1,Data\audio\line820_p1_dna.wav,supérieur ou égal à parenthèse delta indice grand p moins un ferme la parenthèse alpha indice zéro plus alpha indice un plus parenthèse d moins delta indice grand p ferme la parenthèse alpha indice grand n,\geq ( \delta _ P - 1 ) \alpha _ 0 + \alpha _ 1 + ( d - \delta _ P ) \alpha _ N,True,0.0,0.0, super ou égal à parenthèse delta indice grand p moins 1 faire la parenthèse alpha indice 0 plus alpha indice 1 plus parenthèse d moins delta indice grand p faire la parenthèse alpha indice grand n,14.744848251342772, Super rigole à la parenthèse d'alternes 10 groupés moins en faire le parenthèse alpha a 10 0 plus alpha a 10 1 plus parenthèse des moins d'alternes groupés faire la parenthèse alpha a 10 groupés,2.2868025302886963
line590_p1_dna,1,Data\audio\line590_p1_dna.wav,d supérieur ou égal à delta min parenthèse grand n plus un virgule s plus trois ferme la parenthèse espace parenthèse respectivement d strictement supérieur à delta min parenthèse grand n plus un virgule s plus trois ferme la parenthèse ferme la parenthèse,"d \geq \delta \, \min ( N + 1 , s + 3 ) \quad ( \text { resp. } d > \delta \, \min ( N + 1 , s + 3 ) \, )",True,0.08333333333333333,0.10714285714285714, D super égale à Delta mine parenthèse grand N + 1 virgule S + 3 faire la parenthèse espace parenthèse respectivement D strictement supérieur à Delta mine parenthèse grand N + 1 virgule S + 3 faire la parenthèse faire la parenthèse,21.52096152305603, D super ou égal à delta min par enthèse grandaine plus un virgule S plus 3 faire la parenthèse espace parenthèse respectivement D strictement super à delta min par enthèse grandaine plus un virgule S plus 3 faire la parenthèse,3.770485162734986
line819_p1_dna,1,Data\audio\line819_p1_dna.wav,supérieur ou égal à somme pour p égal un à delta indice grand p moins un de alpha indice accolade j indice p ferme l'accolade plus alpha indice accolade j indice accolade delta indice grand p ferme l'accolade ferme l'accolade plus parenthèse d moins delta indice grand p ferme la parenthèse alpha indice grand n,\geq \sum _ { p = 1 } ^ { \delta _ P - 1 } \alpha _ { j _ p } + \alpha _ { j _ { \delta _ P } } + ( d - \delta _ P ) \alpha _ N,True,0.13043478260869565,0.058823529411764705, super = somme pour p = 1 a delta indice grand p - 1 de alpha indice à collade j indice p ferme la collade plus alpha indice à collade j indice à collade delta indice grand p ferme la collade ferme la collade plus parenthèse d moins delta indice grand p ferme la parenthèse alpha indice grand n,28.977430820465088, Supervegale à son pour P = 1 à delta indiscropée moins 1 de alpha 10 à collade géundis P ferme la collade plus alpha indiscracolade géundis à collade delta indiscropée ferme la collade ferme la collade plus parenthèse des moins delta indiscropée ferme la parenthèse alpha indiscropée,3.8542516231536874
line786_p2_dna,2,Data\audio\line786_p2_dna.wav,degré indice alpha parenthèse grand f indice grand h rond g fermer la parenthèse supérieur ou égal à d alpha indice grand n strictement supérieur à zéro,"\deg _ { \alpha } ( F _ H \circ g ) \geq d \, \alpha _ N > 0",True,0.15,0.0625, degré indice alpha parenthèse grand F indice grand H rond G fermé la parenthèse supérieur ou égal à D alpha indice grand N strictement supérieur à 0,13.311558485031128, Degré un 10 alfa parenthèse Grand tf un 10 grand tf Ron G fermez la parenthèse supérieure ou égal à D Alpha un 10 grand tf strictement supérieure à 0,2.538831949234009
line1013_p1,1,Data\audio\line1013_p1.wav,somme pour u égal un à grand n moins s moins deux deg alpha de f h rond g supérieur ou égal à somme pour un inférieur ou égal à u inférieur ou égal à grand n moins s moins deux et v égal grand n moins s moins un moins u de alpha u plus d moins un facteur de alpha v,\sum _ { u = 1 } ^ { N - s - 2 } \deg _ { \alpha } ( F _ H \circ g ) & \geq \sum _ { \substack { 1 \leq u \leq N - s - 2 \\ v = N - s - 1 - u } } ( \alpha _ u + ( d - 1 ) \alpha _ v ),False,0.4057971014492754,0.22641509433962265, Somme pour u = 1 à S - S - 2 de Galpha de Fhrongé Super u = Somme pour u = S - S - 2 V = S - S - 1 - u de Alpha u + D - 1 Factor 2 Alpha V,18.203431367874146, make,24.032060861587524
line786_p1_dna,1,Data\audio\line786_p1_dna.wav,degré indice alpha parenthèse grand f indice grand h rond g ferme la parenthèse supérieur ou égal à d alpha indice grand n strictement positif,"\deg _ { \alpha } ( F _ H \circ g ) \geq d \, \alpha _ N > 0",True,0.15,0.0625, Degré indice alpha parenthèse grand F indice grand H rond G ferme la parenthèse supérieur ou égal à D alpha indice grand N strictement positif,13.296028137207031, Degrir l'Alpha parenthèse Grotef un discrotech gros gé faire le parenthèse supérieur ou également la D Alpha un discrotech strictement positif,1.9708755016326904
